"ANONID" "SUBJECT" "CATALOG_NBR" "GRD_PTS_PER_UNIT" "GPAO" "DIV" "ANON_INSTR_ID" "TERM" "MAJOR3_DESCR" "MAJOR2_DESCR" "MAJOR1_DESCR" "HSGPA" "LAST_ACT_ENGL_SCORE" "LAST_ACT_MATH_SCORE" "LAST_ACT_READ_SCORE" "LAST_ACT_SCIRE_SCORE" "LAST_ACT_COMP_SCORE" "LAST_SATI_VERB_SCORE" "LAST_SATI_MATH_SCORE" "LAST_SATI_TOTAL_SCORE" "SEX" "STDNT_GROUP1" "STDNT_GROUP2" "MAJOR1_DEPT" "MAJOR2_DEPT" "MAJOR3_DEPT" "ADMIT_TERM" "MAJOR1_TERM" "MAJOR2_TERM" "MAJOR3_TERM"
"3676" 47028 "STATS" 250 3 2.64583333333333 "S" 1260 119 NA NA NA 4 29 33 36 33 33 NA NA NA "F" NA NA NA NA NA 114 NA NA NA
"3677" 47040 "STATS" 250 3.7 3.32238805970149 "S" 71 134 NA NA NA 3.9 33 32 24 26 29 NA NA NA "M" NA NA NA NA NA 130 NA NA NA
"3678" 47044 "STATS" 250 2.3 3.04102564102564 "S" 386 130 NA NA NA 3.6 30 30 32 25 30 NA NA NA "F" NA NA NA NA NA 130 NA NA NA
"3679" 47052 "STATS" 250 3.7 3.54074074074074 "S" 386 126 NA "Program in Entrepreneurship" "Economics BA" 0 27 31 NA NA 30 640 720 1360 "M" NA NA "Economics Department" "CoE Ctr for Entrepreneurship" NA 126 135 135 NA
"3680" 47082 "STATS" 250 3 3.61481481481481 "S" 1260 127 NA NA "Nursing BS Fresh" 3.9 31 25 32 25 29 NA NA NA "F" NA NA "School Of Nursing" NA NA 122 135 NA NA
"3681" 47087 "STATS" 250 4 3.96842105263158 "S" 1260 130 NA NA NA 4 35 31 32 27 32 NA NA NA "F" NA NA NA NA NA 130 NA NA NA
"3682" 47088 "STATS" 250 4 3.78 "S" 1260 119 NA NA "Psychology BA" 3.7 31 27 28 28 29 620 660 1280 "F" NA NA "Psychology Department" NA NA 114 127 NA NA
"3683" 47122 "STATS" 250 2.3 2.91904761904762 "S" 1446 135 NA NA NA 3.7 26 21 19 19 21 NA NA NA "F" "E" "D" NA NA NA 130 NA NA NA
"3684" 47131 "STATS" 250 3.3 3.21481481481481 "S" 386 131 NA NA NA 3.8 31 28 32 27 30 NA NA NA "M" NA NA NA NA NA 126 NA NA NA
"3685" 47141 "STATS" 250 4 3.57692307692308 "S" 386 127 NA NA NA 3.7 33 24 27 26 28 NA NA NA "F" NA NA NA NA NA 122 NA NA NA
"3686" 47150 "STATS" 250 3.7 3.74814814814815 "S" 71 134 NA NA NA 4 34 31 33 30 32 NA NA NA "F" NA NA NA NA NA 130 NA NA NA
"3687" 47176 "STATS" 250 3.7 3.72916666666667 "S" 1260 119 NA NA "Business Administration BBA" 3.96 27 31 23 25 26 NA NA NA "F" NA NA "School of Business Administration" NA NA 118 131 NA NA
"3688" 47184 "STATS" 250 2 2.94237288135593 "S" 1260 126 NA NA "Biopsych, Cognit & Neurosci BS" 3.7 25 21 25 23 23 NA NA NA "F" "E" NA "Psychology Department" NA NA 118 133 NA NA
"3689" 47187 "STATS" 250 4 3.55277777777778 "S" 386 131 NA "Biomolecular Science BS" "English BS" 4 32 32 31 30 32 NA NA NA "F" NA NA "English Language & Literature Dept" "Chemistry Department" NA 118 131 131 NA
"3690" 47199 "STATS" 250 4 3.90243902439024 "S" 1260 127 NA NA "Nursing BS Soph Transfer" 0 31 31 30 31 31 NA NA NA "F" NA NA "School Of Nursing" NA NA 124 135 NA NA
"3691" 47210 "STATS" 250 3.7 3.68965517241379 "S" 386 123 NA "Anthropology BA" "International Studies BA" 3.9 35 29 33 28 32 NA NA NA "F" NA NA "International Institute" "Anthropology Department" NA 117 131 131 NA
"3692" 47230 "STATS" 250 3.7 3.40697674418605 "S" 386 130 NA NA NA 4 28 30 30 30 29 NA NA NA "M" NA NA NA NA NA 126 NA NA NA
"3693" 47255 "STATS" 250 3.3 3.20519480519481 "S" 1260 130 NA NA NA 3.9 32 28 32 27 30 NA NA NA "F" NA NA NA NA NA 126 NA NA NA
"3694" 47275 "STATS" 250 4 3.536 "S" 386 122 NA "Computer Science BS" "Informatics BS" 3.94 27 32 32 33 31 NA NA NA "M" NA NA "Statistics Department" "Program In Computer Science" NA 118 131 131 NA
"3695" 47276 "STATS" 250 4 3.77391304347826 "S" 386 135 NA NA NA 3.9 29 35 32 35 33 NA NA NA "M" NA NA NA NA NA 134 NA NA NA
"3696" 47303 "STATS" 250 2.3 2.78717948717949 "S" 1260 130 NA NA NA 3.8 31 28 32 28 30 NA NA NA "F" NA NA NA NA NA 130 NA NA NA
"3697" 47304 "STATS" 250 3 3.06056338028169 "S" 1260 126 NA "American Culture BS" "Psychology BS" 4 32 30 33 29 31 NA NA NA "F" NA NA "Psychology Department" "American Culture Program" NA 122 135 135 NA
"3698" 47312 "STATS" 250 2.7 3.18571428571429 "S" 386 134 NA NA NA 0 22 17 19 20 19 NA NA NA "F" NA NA NA NA NA 137 NA NA NA
"3699" 47326 "STATS" 250 2.3 3.35 "S" 386 130 NA NA NA 3.7 35 29 22 27 28 NA NA NA "M" NA NA NA NA NA 126 NA NA NA
"3700" 47330 "STATS" 250 0.7 2.92857142857143 "S" 1260 119 NA "Sociology BA" "Spanish BA" 3.3 22 25 22 20 23 440 560 1000 "M" "D" "E" "Romance Languages Department" "Sociology Department" NA 117 131 131 NA
"3701" 47391 "STATS" 250 3 2.69439252336449 "S" 1260 122 NA NA NA 4 31 29 29 32 30 NA NA NA "F" NA NA NA NA NA 118 NA NA NA
"3702" 47412 "STATS" 250 4 3.80740740740741 "S" 1260 130 NA NA NA 0 25 32 NA NA 27 630 720 1350 "M" NA NA NA NA NA 130 NA NA NA
"3703" 47413 "STATS" 250 3 3.69333333333333 "S" 386 126 NA NA "Organizational Studies BA" 0 31 30 34 25 30 NA NA NA "M" NA NA "Organizational Studies" NA NA 122 131 NA NA
"3704" 47439 "STATS" 250 2.7 2.77692307692308 "S" 1260 119 NA NA "Psychology BA" 3.8 30 30 33 29 31 NA NA NA "M" NA NA "Psychology Department" NA NA 114 130 NA NA
"3705" 47442 "STATS" 250 4 3.66315789473684 "S" 1260 134 NA NA NA 3.8 36 32 31 31 32 NA NA NA "M" NA NA NA NA NA 130 NA NA NA
"3706" 47461 "STATS" 250 3.7 3.31111111111111 "S" 386 123 NA NA "Neuroscience BS" 3.9 34 29 28 30 30 NA NA NA "M" NA NA "Molecular, Cellular, and Developmental Biology" NA NA 118 131 NA NA
"3707" 47501 "STATS" 250 3 2.45357142857143 "S" 1260 134 NA NA NA 3.8 29 28 26 26 27 NA NA NA "F" NA NA NA NA NA 130 NA NA NA
"3708" 47529 "STATS" 250 4 3.94782608695652 "S" 386 123 NA "Business Administration BBA" "Computer Science BS" 3.9 36 36 35 30 34 670 780 1450 "M" NA NA "Program In Computer Science" "School of Business Administration" NA 122 135 135 NA
"3709" 47531 "STATS" 250 2.3 2.69223300970874 "S" 1260 131 NA NA "Psychology BA" 0 26 26 NA NA 32 560 720 1280 "M" NA NA "Psychology Department" NA NA 131 135 NA NA
"3710" 47542 "STATS" 250 3.7 3.65714285714286 "S" 1260 135 NA NA NA 4 33 35 34 29 33 660 740 1400 "F" NA "G" NA NA NA 134 NA NA NA
"3711" 47567 "STATS" 250 3.7 3.66140350877193 "S" 71 135 NA NA NA 3.7 21 29 NA NA 27 550 650 1200 "F" NA NA NA NA NA 134 NA NA NA
"3712" 47568 "STATS" 250 0 2.69767441860465 "S" 1260 126 NA NA NA 4 26 26 28 25 26 NA NA NA "F" NA NA NA NA NA 122 NA NA NA
"3713" 47570 "STATS" 250 3.7 3.65652173913043 "S" 386 127 NA NA NA 0 24 33 NA NA 31 590 680 1270 "F" NA NA NA NA NA 126 NA NA NA
"3714" 47584 "STATS" 250 3.3 3.71428571428571 "S" 386 123 NA NA "Political Science BA" 0 26 24 29 22 26 NA NA NA "M" NA NA "Political Science Department" NA NA 118 129 NA NA
"3715" 47587 "STATS" 250 1.3 1.91111111111111 "S" 1260 127 NA NA NA 4 25 33 31 35 31 NA NA NA "M" NA NA NA NA NA 114 NA NA NA
"3716" 47598 "STATS" 250 1.7 2.5 "S" 386 135 NA NA NA 3.8 32 32 33 32 32 590 670 1260 "M" NA NA NA NA NA 130 NA NA NA
"3717" 47601 "STATS" 250 3.3 3.77157894736842 "S" 1260 119 NA NA "Philosophy BS" 0 22 23 17 22 21 NA NA NA "M" NA NA "Philosophy Department" NA NA 107 119 NA NA
"3718" 47621 "STATS" 250 3.7 3.98860759493671 "S" 71 135 NA NA NA 0 27 26 31 26 28 NA NA NA "F" NA NA NA NA NA 138 NA NA NA
"3719" 47622 "STATS" 250 3 2.84 "S" 386 127 NA NA "Informatics BA" 3.6 32 30 NA NA 29 640 620 1260 "F" NA NA "Statistics Department" NA NA 122 135 NA NA
"3720" 47691 "STATS" 250 3.7 3.61176470588235 "S" 1260 119 NA NA "Biopsych, Cognit & Neurosci BS" 3.9 35 33 34 35 34 NA NA NA "F" NA NA "Psychology Department" NA NA 118 131 NA NA
"3721" 47699 "STATS" 250 2.3 3.00434782608696 "S" 1260 118 NA NA "Biopsych, Cognit & Neurosci BS" 3.9 25 25 27 30 27 NA NA NA "F" NA NA "Psychology Department" NA NA 114 127 NA NA
"3722" 47712 "STATS" 250 4 3.97966101694915 "S" 386 122 NA NA "Organizational Studies BA" 4 27 26 NA NA 29 660 600 1260 "M" NA NA "Organizational Studies" NA NA 114 127 NA NA
"3723" 47729 "STATS" 250 2.3 3.34035087719298 "S" 386 126 NA NA "Neuroscience BS" 3.7 34 34 34 29 33 710 780 1490 "M" NA NA "Molecular, Cellular, and Developmental Biology" NA NA 122 135 NA NA
"3724" 47743 "STATS" 250 3.3 3.00377358490566 "S" 386 126 NA NA "International Studies BA" 0 23 27 26 25 26 NA NA NA "M" NA NA "International Institute" NA NA 122 131 NA NA
"3725" 47752 "STATS" 250 2.3 3 "S" 386 126 NA NA "Women's Studies BA" 3.9 30 32 32 29 31 730 710 1440 "F" NA NA "Women's Studies Department" NA NA 122 135 NA NA
"3726" 47774 "STATS" 250 0 3.44673913043478 "S" 1260 119 NA NA NA 0 NA NA NA NA NA NA NA NA "M" NA NA NA NA NA 118 NA NA NA
"3727" 47780 "STATS" 250 3.3 3.44285714285714 "S" 386 134 NA NA NA 0 30 33 28 35 32 NA NA NA "M" NA NA NA NA NA 131 NA NA NA
"3728" 47781 "STATS" 250 3 2.88857142857143 "S" 386 130 NA NA NA 3.6 23 29 27 31 28 NA NA NA "M" NA NA NA NA NA 122 NA NA NA
"3729" 47796 "STATS" 250 4.4 3.7632183908046 "S" 1260 118 NA NA "Business Administration BBA" 4 24 31 NA NA 27 530 620 1150 "M" NA NA "School of Business Administration" NA NA 114 127 NA NA
"3730" 47809 "STATS" 250 4 3.71666666666667 "S" 1260 130 NA NA NA 4 35 36 32 31 34 780 800 1580 "M" NA NA NA NA NA 130 NA NA NA
"3731" 47820 "STATS" 250 3.7 3.63636363636364 "S" 1260 119 NA NA "Biochemistry BS" 3.75 33 33 35 34 34 NA NA NA "M" NA NA "Chemistry Department" NA NA 118 134 NA NA
"3732" 47825 "STATS" 250 3.7 3.565 "S" 1260 134 NA NA NA 0 NA NA NA NA NA NA NA NA "F" NA NA NA NA NA 134 NA NA NA
"3733" 47826 "STATS" 250 1.7 3.08333333333333 "S" 386 122 NA NA "Biopsych, Cognit & Neurosci BS" 3.54 33 30 30 28 30 NA NA NA "F" NA NA "Psychology Department" NA NA 117 131 NA NA
"3734" 47831 "STATS" 250 3.7 3.63913043478261 "S" 386 126 NA "Political Science BA" "Sociology BA" 3.9 32 24 33 28 29 NA NA NA "F" NA NA "Sociology Department" "Political Science Department" NA 122 135 135 NA
"3735" 47833 "STATS" 250 3.7 3.33 "S" 1446 135 NA NA NA 3.8 35 34 33 32 33 NA NA NA "M" NA NA NA NA NA 134 NA NA NA
"3736" 47837 "STATS" 250 3.7 3.63488372093023 "S" 386 119 NA NA "Nursing BS Fresh" 4 26 27 24 24 25 NA NA NA "F" NA NA "School Of Nursing" NA NA 114 127 NA NA
"3737" 47841 "STATS" 250 4 3.87924528301887 "S" 386 131 NA NA NA 0 30 26 29 24 28 NA NA NA "F" NA NA NA NA NA 128 NA NA NA
"3738" 47852 "STATS" 250 4 3.95 "S" 1802 130 NA NA NA 3.9 32 32 31 35 33 600 700 1300 "F" NA "G" NA NA NA 122 NA NA NA
"3739" 47872 "STATS" 250 3 3.28867924528302 "S" 1260 118 NA NA "Environment BS" 3.9 29 25 30 28 28 NA NA NA "M" NA NA "Program in the Environment" NA NA 114 133 NA NA
"3740" 47875 "STATS" 250 4 3.88387096774194 "S" 1260 130 NA NA NA 3.8 34 29 NA NA 30 660 680 1340 "F" NA NA NA NA NA 130 NA NA NA
"3741" 47877 "STATS" 250 1.7 2.83709677419355 "S" 1260 134 NA NA NA 3.6 30 34 26 29 30 NA NA NA "M" NA NA NA NA NA 126 NA NA NA
"3742" 47886 "STATS" 250 2.3 3.09139784946237 "S" 1260 130 NA NA NA 0 31 24 NA NA 28 570 610 1180 "F" NA NA NA NA NA 134 NA NA NA
"3743" 47912 "STATS" 250 4 3.54615384615385 "S" 386 126 NA "International Studies BA" "Spanish BA" 3.8 29 31 33 28 31 NA NA NA "F" NA NA "Romance Languages Department" "International Institute" NA 122 135 135 NA
"3744" 47921 "STATS" 250 3 3.3804347826087 "S" 1260 122 NA NA "Sport Management BA" 3.9 28 27 NA NA 27 650 610 1260 "F" NA NA "School Of Kinesiology" NA NA 122 135 NA NA
"3745" 47933 "STATS" 250 3.3 3.22830188679245 "S" 1446 131 NA NA NA 3.9 24 27 32 25 27 NA NA NA "M" NA NA NA NA NA 130 NA NA NA
"3746" 47936 "STATS" 250 3.7 3.8 "S" 1260 131 NA NA NA 4 30 25 23 25 26 630 620 1250 "F" NA NA NA NA NA 130 NA NA NA
"3747" 47941 "STATS" 250 3.7 3.57971014492754 "S" 1260 135 NA NA NA 3.6 31 29 27 29 29 NA NA NA "F" NA NA NA NA NA 134 NA NA NA
"3748" 47956 "STATS" 250 4 3.64423076923077 "S" 1260 131 NA NA NA 3.9 32 32 33 30 32 630 730 1360 "M" NA NA NA NA NA 126 NA NA NA
"3749" 47990 "STATS" 250 3.3 3.28571428571429 "S" 1260 118 NA NA "Evolutionary Anthropology BS" 3.8 28 34 23 28 28 NA NA NA "F" NA NA "Anthropology Department" NA NA 114 126 NA NA
"3750" 47991 "STATS" 250 3 3.31851851851852 "S" 71 134 NA NA NA 3.8 34 30 27 33 31 NA NA NA "F" NA NA NA NA NA 130 NA NA NA
"3751" 47999 "STATS" 250 4 3.60714285714286 "S" 1446 134 NA NA NA 4 35 31 36 27 33 NA NA NA "M" NA NA NA NA NA 134 NA NA NA
"3752" 48030 "STATS" 250 2.7 2.88148148148148 "S" 386 126 NA NA NA 3.2 24 22 21 22 23 NA NA NA "M" NA NA NA NA NA 122 NA NA NA
"3753" 48042 "STATS" 250 3 3.23478260869565 "S" 1446 135 NA NA NA 0 NA NA NA NA NA NA NA NA "F" NA NA NA NA NA 134 NA NA NA
"3754" 48051 "STATS" 250 2.3 2.825 "S" 1260 126 NA NA "Computer Science BS" 0 26 25 30 25 27 NA NA NA "M" NA NA "Program In Computer Science" NA NA 114 127 NA NA
"3755" 48059 "STATS" 250 3 3.17241379310345 "S" 386 126 NA "Economics BA" "Political Science BA" 3.9 30 28 33 26 30 NA NA NA "F" NA NA "Political Science Department" "Economics Department" NA 118 131 131 NA
"3756" 48069 "STATS" 250 3.7 3.39655172413793 "S" 1260 127 NA NA "Cellular & Molec Biology BS" 4 34 30 NA NA 33 790 690 1480 "F" NA "G" "Molecular, Cellular, and Developmental Biology" NA NA 110 127 NA NA
"3757" 48076 "STATS" 250 2.7 3.43653846153846 "S" 1260 127 NA NA NA 3.7 26 25 20 21 23 NA NA NA "M" NA NA NA NA NA 126 NA NA NA
"3758" 48088 "STATS" 250 1.7 2.8 "S" 386 119 NA NA "Psychology BA" 3.3 26 21 19 23 23 NA NA NA "M" "E" NA "Psychology Department" NA NA 110 127 NA NA
"3759" 48119 "STATS" 250 0 2.83225806451613 "S" 1446 135 NA NA NA 3.7 32 30 31 26 30 NA NA NA "M" NA NA NA NA NA 134 NA NA NA
"3760" 48121 "STATS" 250 3.7 3.3 "S" 1260 135 NA NA NA 3.9 29 30 22 27 27 NA NA NA "M" NA NA NA NA NA 130 NA NA NA
"3761" 48123 "STATS" 250 4 4 "S" 386 135 NA NA NA 0 34 24 NA NA 23 640 570 1210 "F" NA NA NA NA NA 133 NA NA NA
"3762" 48132 "STATS" 250 4 3.5 "S" 71 135 NA NA NA 0 33 33 NA NA 28 540 800 1340 "F" NA NA NA NA NA 134 NA NA NA
"3763" 48150 "STATS" 250 1.3 2.31358024691358 "S" 1260 127 NA NA NA 2.92 29 26 24 26 26 NA NA NA "M" "E" "D" NA NA NA 117 NA NA NA
"3764" 48150 "STATS" 250 1.7 2.00204081632653 "S" 71 130 NA NA NA 2.92 29 26 24 26 26 NA NA NA "M" "E" "D" NA NA NA 117 NA NA NA
"3765" 48151 "STATS" 250 3 3.525 "S" 1260 131 NA NA NA 3.8 31 26 31 29 30 NA NA NA "F" NA "G" NA NA NA 126 NA NA NA
"3766" 48156 "STATS" 250 4 3.51379310344828 "S" 1260 134 NA NA NA 3.9 34 36 27 34 33 560 760 1320 "M" "E" "A" NA NA NA 129 NA NA NA
"3767" 48186 "STATS" 250 4 3.8 "S" 1260 134 NA NA NA 3.9 31 30 NA NA 32 760 660 1420 "F" NA "G" NA NA NA 130 NA NA NA
"3768" 48210 "STATS" 250 2.7 3.6675 "S" 386 126 NA NA "Screen Arts & Cultures BA" 3.4 34 28 30 31 31 NA NA NA "M" NA NA "Screen Arts and Cultures" NA NA 114 127 NA NA
"3769" 48222 "STATS" 250 3.3 3.74444444444444 "S" 386 123 NA NA "Linguistics BA" 0 26 28 32 27 28 580 630 1210 "F" NA NA "Department of Linguistics" NA NA 130 131 NA NA
"3770" 48224 "STATS" 250 3.3 3.33333333333333 "S" 1802 122 NA NA "Biochemistry BS" 0 27 34 35 33 32 NA NA NA "M" NA NA "Chemistry Department" NA NA 114 123 NA NA
"3771" 48241 "STATS" 250 3 3.59 "S" 1260 119 NA "Screen Arts & Cultures BA" "History BA" 3.7 30 26 NA NA 32 690 680 1370 "M" NA NA "History Department" "Screen Arts and Cultures" NA 118 131 131 NA
"3772" 48253 "STATS" 250 4 3.74545454545455 "S" 386 127 NA NA "Neuroscience BS" 3.69 24 28 30 27 28 NA NA NA "M" NA NA "Molecular, Cellular, and Developmental Biology" NA NA 118 131 NA NA
"3773" 48267 "STATS" 250 4 3.63636363636364 "S" 1260 118 NA NA "Neuroscience BS" 4 26 29 34 29 29 NA NA NA "F" NA NA "Molecular, Cellular, and Developmental Biology" NA NA 114 127 NA NA
"3774" 48308 "STATS" 250 4 3.90298507462687 "S" 1260 119 NA NA "Business Administration BBA" 3.96 29 29 30 29 29 590 740 1330 "F" NA NA "School of Business Administration" NA NA 118 131 NA NA
"3775" 48311 "STATS" 250 3 3.22456140350877 "S" 386 134 NA NA NA 3.9 34 25 29 22 27 NA NA NA "F" NA NA NA NA NA 126 NA NA NA
"3776" 48324 "STATS" 250 3.7 3.70625 "S" 386 135 NA NA NA 3.9 29 30 29 29 29 NA NA NA "F" "C" NA NA NA NA 130 NA NA NA
"3777" 48369 "STATS" 250 1.7 2.90980392156863 "S" 1260 135 NA NA NA 3.8 34 33 NA NA 33 640 760 1400 "M" NA NA NA NA NA 130 NA NA NA
"3778" 48395 "STATS" 250 4 3.2063829787234 "S" 386 130 NA NA NA 0 NA NA NA NA NA NA NA NA "M" NA NA NA NA NA 130 NA NA NA
"3779" 48403 "STATS" 250 4 3.23333333333333 "S" 1260 126 NA NA NA 0 29 26 NA NA 32 560 690 1250 "F" NA NA NA NA NA 126 NA NA NA
"3780" 48439 "STATS" 250 3 3 "S" 1260 126 NA NA "Neuroscience BS" 3.9 35 35 31 33 33 NA NA NA "M" NA NA "Molecular, Cellular, and Developmental Biology" NA NA 118 131 NA NA
"3781" 48440 "STATS" 250 3.7 3.28620689655172 "S" 386 130 NA NA "Evolutionary Anthropology BS" 3.5 31 30 26 25 28 590 640 1230 "M" "E" NA "Anthropology Department" NA NA 118 131 NA NA
"3782" 48441 "STATS" 250 4 3.79285714285714 "S" 386 122 NA "History BA" "Political Science BA" 4 35 33 35 30 34 NA NA NA "M" NA "G" "Political Science Department" "History Department" NA 114 127 127 NA
"3783" 48442 "STATS" 250 2 2.59615384615385 "S" 1260 119 NA "History BA" "Philosophy BA" 3.63 35 28 27 30 30 NA NA NA "M" NA NA "Philosophy Department" "History Department" NA 118 135 135 NA
"3784" 48451 "STATS" 250 3 3.07634408602151 "S" 1446 131 NA NA NA 3.7 28 29 25 27 28 NA NA NA "M" NA NA NA NA NA 130 NA NA NA
"3785" 48482 "STATS" 250 3 2.73333333333333 "S" 1260 123 NA NA "Biopsych, Cognit & Neurosci BS" 3.9 28 30 31 32 31 NA NA NA "F" NA NA "Psychology Department" NA NA 122 135 NA NA
"3786" 48512 "STATS" 250 3.7 3.44285714285714 "S" 386 122 NA NA "French BS" 3.9 28 31 26 22 27 NA NA NA "F" NA NA "Romance Languages Department" NA NA 114 127 NA NA
"3787" 48514 "STATS" 250 2.7 3.1037037037037 "S" 1260 126 NA NA NA 3.9 29 28 27 24 27 NA NA NA "F" NA NA NA NA NA 126 NA NA NA
"3788" 48516 "STATS" 250 4 4 "S" 1260 131 NA NA NA 4 35 31 36 36 34 NA NA NA "M" NA NA NA NA NA 130 NA NA NA
"3789" 48520 "STATS" 250 2.7 3.63636363636364 "S" 386 130 NA NA NA 3.8 24 34 NA NA 28 670 730 1400 "F" NA NA NA NA NA 130 NA NA NA
"3790" 48536 "STATS" 250 4 3.7 "S" 386 123 NA NA "Statistics BS" 0 31 35 29 31 31 680 670 1350 "M" NA NA "Statistics Department" NA NA 122 131 NA NA
"3791" 48559 "STATS" 250 2 2.92692307692308 "S" 1260 118 NA NA "Psychology BA" 3.5 24 26 33 28 28 NA NA NA "F" NA NA "Psychology Department" NA NA 114 127 NA NA
"3792" 48566 "STATS" 250 3 3.67 "S" 1260 126 NA NA NA 3.7 29 27 27 23 27 580 590 1170 "F" NA NA NA NA NA 126 NA NA NA
"3793" 48595 "STATS" 250 3.7 3.77142857142857 "S" 386 119 NA NA "Nursing BS Fresh" 3.9 23 31 21 31 26 NA NA NA "F" NA NA "School Of Nursing" NA NA 114 127 NA NA
"3794" 48606 "STATS" 250 3.3 3.74444444444444 "S" 1802 123 NA NA NA 3.8 33 27 32 30 31 NA NA NA "F" NA NA NA NA NA 122 NA NA NA
"3795" 48634 "STATS" 250 2.7 2.94054054054054 "S" 1260 118 NA NA "Biopsych, Cognit & Neurosci BS" 3.9 30 26 28 24 27 NA NA NA "F" NA NA "Psychology Department" NA NA 114 129 NA NA
"3796" 48644 "STATS" 250 3.7 3.09814814814815 "S" 386 134 NA NA NA 3.9 34 34 32 29 32 NA NA NA "F" NA "G" NA NA NA 130 NA NA NA
"3797" 48662 "STATS" 250 3.7 3.64655172413793 "S" 1260 135 NA NA NA 3.9 34 25 NA NA 31 700 600 1300 "F" NA NA NA NA NA 130 NA NA NA
"3798" 48708 "STATS" 250 4 3.6093023255814 "S" 1260 119 NA NA "Neuroscience BS" 3.7 32 35 34 30 33 780 740 1520 "M" NA "G" "Molecular, Cellular, and Developmental Biology" NA NA 114 127 NA NA
"3799" 48724 "STATS" 250 4 3.62307692307692 "S" 1260 126 NA NA "Statistics BS" 3.9 31 31 32 24 30 NA NA NA "F" NA NA "Statistics Department" NA NA 122 135 NA NA
"3800" 48735 "STATS" 250 2.3 3.25555555555556 "S" 1446 135 NA NA NA 3.5 33 30 NA NA 29 690 700 1390 "F" NA NA NA NA NA 134 NA NA NA
"3801" 48744 "STATS" 250 4 4 "S" 1802 123 NA "Political Science BA" "Organizational Studies BA" 3.9 34 31 NA NA 32 710 750 1460 "F" NA NA "Organizational Studies" "Political Science Department" NA 122 135 135 NA
"3802" 48766 "STATS" 250 2.7 2.8695652173913 "S" 386 119 NA NA "Neuroscience BS" 3.92 31 30 25 24 28 NA NA NA "F" NA NA "Molecular, Cellular, and Developmental Biology" NA NA 118 131 NA NA
"3803" 48771 "STATS" 250 3.3 3.49583333333333 "S" 1260 135 NA NA NA 3.6 35 34 29 26 31 NA NA NA "F" NA NA NA NA NA 134 NA NA NA
"3804" 48781 "STATS" 250 3.3 3.65084745762712 "S" 1802 122 NA "International Studies BA" "Psychology BA" 3.7 33 28 32 26 30 NA NA NA "F" NA NA "Psychology Department" "International Institute" NA 118 131 131 NA
"3805" 48782 "STATS" 250 4 3.86666666666667 "S" 386 118 NA NA "Economics BA" 3.7 33 34 34 34 34 NA NA NA "F" NA "G" "Economics Department" NA NA 114 127 NA NA
"3806" 48794 "STATS" 250 3.7 3.8962962962963 "S" 1802 130 NA NA NA 4 31 28 33 32 31 NA NA NA "F" NA NA NA NA NA 126 NA NA NA
"3807" 48795 "STATS" 250 3.7 3.43846153846154 "S" 386 131 NA NA NA 3.7 29 30 NA NA 32 720 750 1470 "F" NA NA NA NA NA 126 NA NA NA
"3808" 48802 "STATS" 250 2.3 2.27021276595745 "S" 386 118 NA NA "Biochemistry BS" 0 27 29 29 21 27 NA NA NA "M" NA NA "Chemistry Department" NA NA 120 127 NA NA
"3809" 48819 "STATS" 250 3.3 2.93947368421053 "S" 71 135 NA NA NA 3.6 28 30 25 26 28 NA NA NA "F" NA NA NA NA NA 130 NA NA NA
"3810" 48834 "STATS" 250 3.7 3 "S" 386 135 NA NA NA 3.7 32 32 NA NA 31 660 730 1390 "M" NA NA NA NA NA 130 NA NA NA
"3811" 48836 "STATS" 250 3.3 3.30434782608696 "S" 386 131 NA NA NA 3.5 32 32 34 27 31 610 700 1310 "F" NA NA NA NA NA 130 NA NA NA
"3812" 48868 "STATS" 250 3.3 3.2377358490566 "S" 386 131 NA NA NA 3.9 31 29 33 25 30 NA NA NA "M" NA NA NA NA NA 126 NA NA NA
"3813" 48871 "STATS" 250 0 2.55185185185185 "S" 1446 135 NA NA NA 3.6 31 30 28 27 29 NA NA NA "F" NA NA NA NA NA 134 NA NA NA
"3814" 48874 "STATS" 250 2.7 2.55526315789474 "S" 1260 126 NA NA "Informatics BS" 3.75 27 29 32 36 31 NA NA NA "M" NA NA "Statistics Department" NA NA 118 135 NA NA
"3815" 48887 "STATS" 250 3.3 2.8 "S" 386 130 NA NA NA 3.9 22 35 24 27 27 NA NA NA "F" NA NA NA NA NA 126 NA NA NA
"3816" 48888 "STATS" 250 3 3.4578313253012 "S" 386 127 NA NA NA 3.9 30 29 NA NA 28 710 650 1360 "F" NA NA NA NA NA 126 NA NA NA
"3817" 48901 "STATS" 250 2.3 3.34594594594595 "S" 1260 126 NA NA NA 3.9 26 27 29 31 28 NA NA NA "F" NA NA NA NA NA 122 NA NA NA
"3818" 48909 "STATS" 250 1.7 1.75254237288136 "S" 1802 123 NA NA "Informatics BA" 3.71 35 36 31 35 35 NA NA NA "F" NA NA "Statistics Department" NA NA 118 131 NA NA
"3819" 48929 "STATS" 250 3 3.14 "S" 1802 126 NA NA "Electrical Engineering BSE" 3.9 27 33 27 34 31 NA NA NA "M" NA NA "Electrical Engr & Computer Sci" NA NA 122 135 NA NA
"3820" 48931 "STATS" 250 3.7 3.456 "S" 386 131 NA NA "Computer Science BS" 3.8 31 28 NA NA 31 690 670 1360 "M" NA NA "Program In Computer Science" NA NA 122 135 NA NA
